MEMBER_ID,EngagementScore
M00577,3.1190
M00578,16.4870
M00579,57.0450
M00580,40.7800
M00581,35.0540
M00582,58.8600
M00583,21.2490
M00584,30.5770
M00585,34.7630
M00586,22.3160
M00587,12.7250
M00588,55.7540
M00589,34.7230
M00590,39.8880
M00591,31.1070
M00592,32.9870
M00593,24.0150
M00594,26.1020
M00595,43.5040
M00596,44.4640
M00597,53.9670
M00598,41.0310
M00599,47.8480
M00600,31.1070
M00601,16.5900
M00602,38.1640
M00603,29.4520
M00604,43.1800
M00605,14.6150
M00606,21.5520
M00607,40.3050
M00608,12.8070
M00609,17.4960
M00610,38.5930
M00611,37.9630
M00612,39.2030
M00613,39.6260
M00614,45.1270
M00615,19.3670
M00616,41.8060
M00617,19.4020
M00618,12.1450
M00619,2.6930
M00620,33.5840
M00621,40.8090
M00622,35.6840
M00623,19.1770
M00624,51.1740
M00625,13.6640
M00626,27.2640
M00627,31.1070
M00628,22.6130
M00629,31.1070
M00630,37.2770
M00631,25.0590
M00632,22.4200
M00633,58.1930
M00634,31.1740
M00635,12.4360
M00636,13.3160
M00637,17.8480
M00638,12.4130
M00639,25.6360
M00640,20.4800
M00641,18.6770
M00642,51.1740
M00643,43.1580
M00644,6.5070
M00645,35.1750
M00646,13.7820
M00647,37.7640
M00648,23.3030
M00649,13.4570
M00650,39.4500
M00651,39.2370
M00652,15.8590
M00653,3.1970
M00654,19.7000
M00655,16.8880
M00656,28.9500
M00657,3.9860
M00658,46.8690
M00659,19.3910
M00660,51.6700
M00661,31.1070
M00662,4.4910
M00663,26.0030
M00664,51.1740
M00665,47.2600
M00666,58.2210
M00667,48.6230
M00668,19.8710
M00669,35.9630
M00670,23.3810
M00671,24.3940
M00672,24.2010
M00673,15.8770
M00674,33.2640
M00675,37.0380
M00676,26.3300
M00677,17.4480
M00678,13.5580
M00679,17.8340
M00680,12.4830
M00681,57.2510
M00682,7.4960
M00683,23.8100
M00684,28.2000
M00685,6.5730
M00686,39.7160
M00687,31.1070
M00688,56.4500
M00689,39.9080
M00690,31.1070
M00691,46.2330
M00692,43.1600
M00693,31.1070
M00694,39.7280
M00695,13.9730
M00696,33.7240
M00697,39.8530
M00698,41.7610
M00699,3.5120
M00700,25.0010
M00701,31.3270
M00702,40.3650
M00703,13.2450
M00704,7.8490
M00705,31.1070
M00706,18.0550
M00707,20.4020
M00708,39.4540
M00709,17.3790
M00710,24.0830
M00711,6.1090
M00712,51.4770
M00713,36.6930
M00714,27.3710
M00715,15.0450
M00716,21.1740
M00717,33.6560
M00718,16.6730
M00719,41.9600
M00720,2.6380
M00721,32.6070
M00722,31.1070
M00723,27.2810
M00724,57.9670
M00725,48.7650
M00726,42.4100
M00727,42.0040
M00728,51.0780
M00729,31.1070
M00730,6.0270
M00731,41.9260
M00732,9.8160
M00733,28.8310
M00734,40.9580
M00735,11.8290
M00736,36.9760
M00737,31.1070
M00738,52.8010
M00739,47.3050
M00740,4.1700
M00741,12.1680
M00742,33.6530
M00743,3.9700
M00744,55.6570
M00745,25.7200
M00746,44.6590
M00747,35.1640
M00748,49.6980
M00749,47.9400
M00750,53.0520
M00751,35.2120
M00752,37.5980
M00753,47.7350
M00754,31.1070
M00755,25.5100
M00756,21.4260
M00757,6.5660
M00758,24.4100
M00759,31.1070
M00760,30.3040
M00761,33.4230
M00762,22.3760
M00763,20.5900
M00764,36.9030
M00765,38.4130
M00766,7.2860
M00767,12.1320
M00768,12.0500
M00769,15.8660
M00770,29.6440
M00771,13.2190
M00772,40.1480
M00773,37.4510
M00774,18.6900
M00775,47.6120
M00776,42.1560
M00777,13.2550
M00778,25.8630
M00779,44.6710
M00780,47.7630
M00781,3.1890
M00782,32.8410
M00783,43.1840
M00784,32.8940
M00785,39.1920
M00786,37.8250
M00787,45.8080
M00788,49.7390
M00789,17.0630
M00790,46.1920
M00791,58.4640
M00792,47.8690
M00793,49.1450
M00794,16.0940
M00795,21.2480
M00796,31.1070
M00797,23.4050
M00798,6.4120
M00799,9.4450
M00800,8.4700
M00801,35.5740
M00802,43.4540
M00803,19.2820
M00804,31.1070
M00805,36.7200
M00806,51.1740
M00807,31.1070
M00808,36.2270
M00809,29.3820
M00810,38.6330
M00811,13.6280
M00812,18.0230
M00813,19.6690
M00814,5.9730
M00815,31.1070
M00816,25.1710
M00817,47.2130
M00818,31.1070
M00819,28.8990
M00820,17.9090
M00821,42.4520
M00822,8.7210
M00823,16.9590
M00824,12.9170
M00825,40.1880
M00826,57.3980
M00827,46.5040
M00828,41.7040
M00829,42.4800
M00830,51.7330
M00831,33.7260
M00832,49.6040
M00833,46.2930
M00834,24.0620
M00835,26.6860
M00836,17.1100
M00837,21.7700
M00838,19.6150
M00839,23.2190
M00840,35.0790
M00841,9.0860
M00842,52.8140
M00843,24.9590
M00844,27.6390
M00845,29.0170
M00846,35.7650
M00847,52.1730
M00848,29.3900
M00849,45.2300
M00850,31.1070
M00851,36.9870
M00852,22.9350
M00853,13.5160
M00854,16.1970
M00855,37.5740
M00856,41.1740
M00857,31.1070
M00858,57.1790
M00859,32.4790
M00860,10.7780
M00861,53.3630
M00862,36.3750
M00863,22.4600
M00864,5.8010
M00865,36.7260
M00866,25.5690
M00867,22.6270
M00868,40.5080
M00869,15.8140
M00870,13.1120
M00871,34.4400
M00872,44.3290
M00873,56.8120
M00874,30.2780
M00875,7.7220
M00876,40.3960
M00877,22.0250
M00878,20.9200
M00879,19.5780
M00880,15.7650
M00881,46.7470
M00882,28.6920
M00883,38.6350
M00884,31.1070
M00885,57.3030
M00886,30.4800
M00887,34.5450
M00888,30.1870
M00889,22.3440
M00890,27.6460
M00891,35.1190
M00892,29.9820
M00893,49.6510
M00894,21.2610
M00895,55.5580
M00896,52.6000
M00897,31.1070
M00898,44.4270
M00899,45.4070
M00900,38.8730
M00901,29.7600
M00902,28.7180
M00903,31.1740
M00904,19.6780
M00905,44.5750
M00906,49.6940
M00907,24.0640
M00908,50.4000
M00909,26.9540
M00910,47.7220
M00911,41.1000
M00912,8.7100
M00913,31.1070
M00914,57.3030
M00915,38.0060
M00916,28.3770
M00917,19.7870
M00918,34.8920
M00919,31.1070
M00920,14.3540
M00921,42.2090
M00922,43.7060
M00923,27.1970
M00924,15.5030
M00925,35.2830
M00926,31.1070
M00927,32.1390
M00928,58.9590
M00929,57.7190
M00930,55.1630
M00931,39.2170
M00932,50.8820
M00933,12.0990
M00934,17.4080
M00935,21.2030
M00936,19.2940
M00937,10.8670
M00938,31.1070
M00939,28.6960
M00940,50.9050
M00941,40.6090
M00942,27.2420
M00943,40.2740
M00944,39.6760
M00945,44.8140
M00946,49.4470
M00947,22.7850
M00948,8.8970
M00949,15.1140
M00950,33.4320
M00951,28.2760
M00952,56.7090
M00953,29.9910
M00954,29.7000
M00955,7.1770
M00956,43.4290
M00957,51.1740
M00958,17.8600
M00959,35.0490
M00960,37.1420
M00961,25.4090
M00962,27.8550
M00963,28.7850
M00964,38.5490
M00965,40.1830
M00966,31.1070
M00967,31.1070
M00968,42.8640
M00969,10.0250
M00970,49.5060
M00971,38.9340
M00972,38.2380
M00973,4.1330
M00974,39.3560
M00975,27.0700
M00976,38.7860
M00977,36.6540
M00978,48.7080
M00979,44.1000
M00980,100.0000
M00981,49.6140
M00982,12.8620
M00983,15.1420
M00984,28.8410
M00985,21.6110
M00986,11.5570
M00987,22.6320
M00988,26.6400
M00989,28.9760
M00990,35.7620
M00991,26.9210
M00992,34.0070
M00993,36.9730
M00994,29.4370
M00995,44.0300
M00996,47.1860
M00997,17.1170
M00998,3.4370
M00999,45.6570
M01000,15.4210
