member_id,week_start,steps,gym_visits,points_earned
M00665,2022-06-06,17260.0,3,63.0
M00198,2023-12-18,19028.0,1,84.0
M00421,2023-09-11,15546.0,3,119.0
M00858,2022-06-20,17179.0,4,134.0
M00132,2022-03-28,14070.0,2,101.0
M00365,2022-06-20,5832.0,1,63.0
M00538,2022-04-25,2143.0,2,47.0
M00466,2022-07-04,12731.0,2,46.0
M00269,2022-03-14,5296.0,3,66.0
M00072,2022-02-07,3071.0,2,16.0
M00947,2023-07-03,12785.0,1,105.0
M00303,2022-09-12,8548.0,2,125.0
M00381,2023-10-30,15886.0,1,140.0
M00417,2023-09-04,3552.0,4,75.0
M00208,2023-06-05,6336.0,4,26.0
M00170,2023-10-09,13553.0,3,89.0
M00743,2023-05-15,3970.0,0,46.0
M00896,2022-09-12,12600.0,4,114.0
M00287,2023-05-29,8210.0,0,39.0
M00168,2023-02-13,6873.0,1,68.0
M00215,2022-03-07,3028.0,0,99.0
M00116,2022-01-03,14264.0,2,44.0
M00144,2022-12-26,15578.0,1,101.0
M00312,2023-08-28,7878.0,2,79.0
M00330,2022-05-02,4381.0,0,73.0
M00548,2023-08-28,18519.0,2,123.0
M00223,2022-01-31,6614.0,1,36.0
M00236,2023-12-11,13757.0,2,142.0
M00864,2023-10-23,5801.0,0,
M00469,2023-12-18,10476.0,2,8.0
M00848,2023-08-07,9390.0,2,81.0
M00696,2023-10-09,3724.0,3,54.0
M00989,2022-11-28,10568.0,1,136.0
M00242,2022-08-15,2052.0,3,63.0
M00304,2023-01-30,18711.0,0,40.0
M00493,2023-12-18,12580.0,4,14.0
M00720,2023-10-30,2638.0,0,35.0
M00570,2022-06-20,9285.0,0,64.0
M00783,2022-10-31,13445.0,0,32.0
M00968,2023-09-25,6035.0,0,64.0
M00911,2023-08-28,11100.0,3,122.0
M00149,2023-04-03,15221.0,0,133.0
M00576,2023-04-17,2276.0,2,126.0
M00469,2022-06-20,11253.0,0,74.0
M00135,2022-11-07,14248.0,4,90.0
M00820,2022-06-06,7909.0,1,73.0
M00019,2023-11-27,18818.0,3,15.0
M00893,2022-10-10,19651.0,3,106.0
M00598,2023-08-28,11031.0,3,25.0
M00686,2022-08-15,9716.0,3,53.0
M00550,2022-07-11,8887.0,0,91.0
M00141,2022-02-21,16586.0,4,140.0
M00986,2023-11-06,11557.0,0,34.0
M00300,2022-07-18,8988.0,1,28.0
M00406,2023-01-23,8052.0,1,11.0
M00711,2022-04-11,6109.0,0,68.0
M00500,2022-04-11,16609.0,0,31.0
M00035,2022-09-12,16688.0,0,9.0
M00643,2022-05-09,3158.0,4,132.0
M00739,2023-02-13,17305.0,3,26.0
M00367,2022-12-19,14253.0,1,20.0
M00656,2023-08-14,18950.0,1,15.0
M00429,2022-08-29,18510.0,3,28.0
M00656,2023-09-18,13564.0,3,101.0
M00706,2023-10-02,8055.0,1,124.0
M00358,2023-08-21,5683.0,1,70.0
M00849,2022-09-05,5230.0,4,82.0
M00678,2023-01-02,3558.0,1,13.0
M00024,2023-07-10,19122.0,0,40.0
M00982,2022-03-21,12862.0,0,111.0
M00434,2022-07-11,2078.0,3,73.0
M00215,2023-05-08,11972.0,3,72.0
M00364,2022-08-15,5163.0,0,15.0
M00467,2023-09-04,4187.0,3,125.0
M00825,2023-06-05,18650.0,0,111.0
M00236,2023-07-03,10420.0,4,23.0
M00123,2023-07-31,3392.0,3,20.0
M00568,2023-01-16,16785.0,2,118.0
M00598,2023-07-03,7218.0,1,115.0
M00465,2023-05-22,13335.0,0,70.0
M00834,2023-06-19,14062.0,1,134.0
M00078,2022-12-12,18980.0,1,9.0
M00604,2022-07-18,13180.0,3,31.0
M00333,2023-02-06,10920.0,1,61.0
M00248,2022-06-27,9976.0,2,97.0
M00614,2022-06-06,15127.0,3,87.0
M00337,2022-04-25,4624.0,0,119.0
M00073,2022-01-31,10846.0,1,115.0
M00830,2023-02-13,10524.0,1,49.0
M00744,2022-04-18,15657.0,4,40.0
M00526,2023-12-18,16538.0,0,46.0
M00706,2023-10-16,5742.0,4,1.0
M00234,2022-05-23,12327.0,0,3.0
M00188,2022-01-31,12584.0,1,0.0
M00277,2023-02-06,7815.0,1,149.0
M00419,2022-06-27,5868.0,2,10.0
M00542,2022-10-24,2249.0,3,111.0
M00977,2023-10-16,16654.0,2,10.0
M00423,2023-02-13,16624.0,0,108.0
M00025,2023-08-21,18684.0,0,13.0
M00428,2023-02-06,14836.0,0,90.0
M00187,2022-01-10,13956.0,0,86.0
M00743,2022-10-31,16593.0,3,72.0
M00355,2023-06-12,14905.0,1,58.0
M00134,2023-09-25,6317.0,2,145.0
M00131,2022-06-27,6443.0,1,60.0
M00932,2022-10-31,10882.0,4,23.0
M00112,2023-09-11,5918.0,2,26.0
M00879,2022-05-09,19578.0,0,34.0
M00641,2022-12-05,18677.0,0,21.0
M00418,2023-09-25,17908.0,4,10.0
M00577,2023-07-17,14102.0,2,123.0
M00026,2023-01-30,7217.0,3,123.0
M00530,2022-02-07,6147.0,3,104.0
M00932,2022-06-06,16810.0,0,97.0
M00646,2023-07-24,13782.0,0,75.0
M00715,2022-10-24,15045.0,0,
M00766,2022-10-31,8373.0,4,110.0
M00940,2023-04-03,10905.0,4,64.0
M00552,2022-11-07,9723.0,1,145.0
M00030,2022-05-09,18993.0,4,58.0
M00590,2022-01-24,19888.0,2,22.0
M00842,2023-11-06,12814.0,4,97.0
M00761,2023-11-13,13423.0,2,3.0
M00287,2023-10-30,8531.0,3,108.0
M00442,2023-01-30,2150.0,1,39.0
M00439,2023-07-24,12170.0,4,105.0
M00164,2022-02-28,15658.0,3,136.0
M00335,2023-12-04,9585.0,2,140.0
M00414,2022-11-28,3191.0,1,0.0
M00560,2022-09-05,14915.0,3,75.0
M00590,2023-04-10,13186.0,2,137.0
M00623,2022-05-02,9177.0,1,146.0
M00343,2022-10-03,6995.0,0,103.0
M00785,2023-09-11,5409.0,4,21.0
M00283,2023-04-03,2110.0,0,88.0
M00364,2023-03-27,19360.0,0,10.0
M00254,2023-09-04,11626.0,0,74.0
M00447,2022-06-13,9943.0,3,89.0
M00638,2023-01-02,12413.0,0,15.0
M00973,2022-10-17,4133.0,0,127.0
M00398,2023-01-02,16883.0,3,138.0
M00922,2023-12-25,3706.0,4,56.0
M00171,2023-03-06,16242.0,1,64.0
M00203,2023-03-06,18236.0,1,5.0
M00486,2023-04-17,9747.0,4,76.0
M00641,2022-08-29,14718.0,3,90.0
M00280,2023-11-20,7765.0,0,34.0
M00404,2023-01-30,14945.0,1,127.0
M00456,2023-02-27,15685.0,4,116.0
M00008,2022-03-21,6264.0,4,58.0
M00798,2022-12-05,6412.0,0,127.0
M00382,2023-08-28,18596.0,4,13.0
M00018,2022-05-30,14255.0,3,118.0
M00502,2023-09-18,15879.0,3,149.0
M00845,2023-04-17,19017.0,1,84.0
M00122,2023-05-08,8017.0,2,129.0
M00494,2022-06-06,9913.0,4,119.0
M00126,2023-10-23,13201.0,3,68.0
M00879,2022-02-14,11576.0,0,142.0
M00740,2022-05-30,4170.0,0,49.0
M00595,2023-12-18,19429.0,2,87.0
M00397,2022-10-03,19260.0,2,25.0
M00489,2022-05-09,2393.0,2,104.0
M00432,2023-01-02,16246.0,0,124.0
M00188,2022-07-25,16596.0,4,85.0
M00154,2022-06-27,3768.0,3,26.0
M00124,2022-10-10,2232.0,0,18.0
M00905,2022-05-30,14575.0,3,36.0
M00866,2023-02-27,5569.0,2,35.0
M00309,2023-05-22,17271.0,1,62.0
M00607,2022-11-14,7905.0,4,38.0
M00122,2023-02-06,19215.0,2,127.0
M00874,2022-07-18,10278.0,2,106.0
M00071,2023-10-30,9040.0,3,139.0
M00905,2023-01-02,12409.0,0,79.0
M00104,2022-05-02,9761.0,1,78.0
M00666,2022-08-01,18221.0,4,
M00756,2022-08-08,11426.0,1,149.0
M00371,2022-02-28,7659.0,2,119.0
M00673,2023-10-16,5877.0,1,5.0
M00161,2022-09-12,14319.0,4,104.0
M00889,2023-10-30,2344.0,2,121.0
M00692,2022-02-21,3160.0,4,144.0
M00680,2022-06-13,2483.0,1,1.0
M00388,2023-04-17,17871.0,2,79.0
M00412,2022-12-26,3828.0,2,54.0
M00054,2022-11-14,8720.0,4,110.0
M00452,2022-04-25,18699.0,0,11.0
M00751,2022-05-23,15212.0,2,108.0
M00866,2022-11-28,12068.0,4,139.0
M00561,2022-02-28,15374.0,4,50.0
M00872,2023-04-24,4329.0,4,47.0
M00880,2022-01-31,11805.0,0,104.0
M00646,2023-10-16,6470.0,3,69.0
M00801,2022-02-07,15574.0,2,118.0
M00133,2023-12-11,16274.0,1,104.0
M00979,2023-05-15,4100.0,4,89.0
M00146,2022-11-28,2808.0,1,0.0
M00131,2022-11-14,,4,143.0
M00354,2023-11-06,10186.0,4,45.0
M00634,2023-07-03,,2,62.0
M00514,2023-12-04,3896.0,0,58.0
M00065,2023-05-22,9601.0,0,46.0
M00803,2023-03-13,9282.0,1,15.0
M00435,2022-01-17,3138.0,3,45.0
M00836,2022-08-01,17110.0,0,79.0
M00035,2023-12-18,18507.0,0,49.0
M00328,2022-02-14,17654.0,3,48.0
M00428,2022-04-18,3584.0,0,106.0
M00797,2023-10-02,3405.0,2,19.0
M00932,2023-11-20,13485.0,2,118.0
M00334,2022-04-11,3244.0,1,76.0
M00298,2022-02-14,7892.0,1,71.0
M00113,2023-11-20,18582.0,1,125.0
M00094,2023-10-23,14274.0,2,10.0
M00626,2022-09-19,17264.0,1,54.0
M00519,2022-02-21,7622.0,1,46.0
M00397,2023-01-23,19714.0,2,126.0
M00534,2023-12-11,11174.0,3,77.0
M00057,2023-07-10,5132.0,1,103.0
M00173,2023-11-13,15671.0,0,49.0
M00694,2022-01-03,19728.0,2,96.0
M00002,2022-05-09,16611.0,3,116.0
M00456,2023-06-26,6840.0,0,104.0
M00825,2022-05-09,7269.0,0,22.0
M00469,2023-08-28,2428.0,4,60.0
M00118,2022-01-24,8154.0,3,6.0
M00596,2023-03-20,4464.0,4,14.0
M00843,2023-11-13,18960.0,2,78.0
M00802,2022-01-10,13454.0,3,8.0
M00556,2023-06-12,10741.0,4,58.0
M00581,2022-06-06,15054.0,2,107.0
M00565,2023-01-23,11484.0,1,133.0
M00958,2023-07-24,17860.0,0,137.0
M00496,2023-10-30,12483.0,2,14.0
M00862,2022-12-19,6375.0,3,117.0
M00801,2023-07-17,11324.0,0,87.0
M00332,2022-08-01,12688.0,0,3.0
M00512,2023-02-06,13195.0,2,113.0
M00837,2022-09-05,11770.0,1,57.0
M00641,2023-09-18,2851.0,2,142.0
M00163,2022-03-21,6722.0,4,1.0
M00251,2022-08-29,10765.0,4,103.0
M00537,2023-07-10,8907.0,4,123.0
M00644,2022-01-24,14316.0,3,68.0
M00329,2022-07-11,14456.0,2,70.0
M00118,2023-12-11,19934.0,0,67.0
M00369,2022-08-15,,3,146.0
M00748,2023-12-04,9698.0,4,7.0
M00115,2023-05-29,8600.0,3,30.0
M00637,2022-08-01,17848.0,0,13.0
M00195,2023-06-26,8586.0,3,28.0
M00606,2022-01-31,11552.0,1,136.0
M00724,2022-03-07,17967.0,4,100.0
M00639,2022-06-20,5636.0,2,69.0
M00138,2022-10-10,12537.0,4,91.0
M00660,2022-04-25,11670.0,4,44.0
M00296,2023-02-27,13340.0,2,73.0
M00963,2023-08-07,8785.0,2,53.0
M00075,2023-02-20,19041.0,0,44.0
M00015,2022-08-15,2244.0,0,2.0
M00372,2022-02-28,7113.0,1,75.0
M00156,2022-12-12,15448.0,3,35.0
M00876,2022-08-01,10396.0,3,138.0
M00035,2022-01-31,11075.0,3,133.0
M00519,2022-11-14,5732.0,4,116.0
M00182,2023-10-09,10006.0,4,40.0
M00993,2022-01-24,16973.0,2,71.0
M00170,2022-08-01,11174.0,1,106.0
M00497,2022-01-24,12636.0,1,136.0
M00294,2022-05-02,16380.0,3,83.0
M00723,2023-07-24,7281.0,2,103.0
M00832,2023-12-25,19604.0,3,137.0
M00057,2022-08-22,4606.0,4,40.0
M00364,2022-11-28,11217.0,2,3.0
M00925,2023-03-13,5283.0,3,9.0
M00636,2022-04-04,3316.0,1,48.0
M00706,2023-09-18,5151.0,0,146.0
M00595,2023-08-28,2118.0,4,73.0
M00713,2022-08-15,6693.0,3,47.0
M00764,2023-07-17,16903.0,2,123.0
M00902,2022-10-17,8718.0,2,99.0
M00337,2022-08-08,14295.0,3,136.0
M00002,2023-11-20,3908.0,1,18.0
M00423,2022-10-24,8378.0,3,125.0
M00902,2023-01-30,2426.0,4,10.0
M00782,2023-10-16,12841.0,2,2.0
M00753,2022-04-11,7735.0,4,144.0
M00474,2022-12-12,17247.0,0,114.0
M00146,2023-05-08,17188.0,1,72.0
M00326,2023-03-13,7881.0,3,29.0
M00588,2023-05-01,2639.0,3,79.0
M00230,2022-02-28,11395.0,1,7.0
M00918,2022-03-28,14892.0,2,4.0
M00846,2023-12-25,5765.0,3,68.0
M00269,2022-05-02,16547.0,1,77.0
M00585,2022-08-29,4763.0,3,124.0
M00882,2022-01-03,8692.0,2,68.0
M00618,2023-09-04,2145.0,1,144.0
M00736,2022-09-05,16976.0,2,
M00522,2023-07-10,17850.0,3,78.0
M00795,2023-07-24,11248.0,1,69.0
M00782,2023-04-10,9133.0,0,31.0
M00265,2022-11-14,17893.0,3,59.0
M00649,2022-09-12,3457.0,1,127.0
M00218,2023-05-15,13980.0,0,126.0
M00953,2023-07-24,19991.0,1,39.0
M00224,2022-07-18,19457.0,4,26.0
M00361,2023-12-04,12561.0,4,103.0
M00291,2023-09-25,3522.0,1,4.0
M00154,2022-10-31,2535.0,1,126.0
M00681,2023-10-09,17251.0,4,51.0
M00365,2023-04-17,2760.0,3,74.0
M00106,2023-06-12,15410.0,4,88.0
M00633,2023-06-19,18193.0,4,127.0
M00579,2022-04-04,17045.0,4,65.0
M00798,2023-06-26,17162.0,2,134.0
M00285,2022-12-19,10099.0,3,126.0
M00596,2023-05-29,15185.0,2,113.0
M00836,2023-08-21,5263.0,3,0.0
M00526,2022-02-28,3997.0,2,75.0
M00877,2023-09-04,2025.0,2,19.0
M00180,2023-07-17,10698.0,1,98.0
M00039,2023-09-04,19244.0,4,41.0
M00277,2023-04-24,9683.0,1,143.0
M00839,2022-08-22,13219.0,1,32.0
M00512,2023-03-27,10151.0,1,88.0
M00006,2022-07-04,5981.0,0,82.0
M00183,2022-10-03,4850.0,3,15.0
M00552,2022-02-21,18980.0,1,143.0
M00710,2022-02-07,14083.0,1,88.0
M00665,2023-01-02,8422.0,0,54.0
M00388,2022-01-31,14653.0,0,29.0
M00764,2023-01-09,14058.0,4,95.0
M00741,2022-05-02,2168.0,1,87.0
M00473,2023-05-08,16755.0,3,124.0
M00466,2022-09-05,3923.0,1,
M00930,2023-11-06,15163.0,4,138.0
M00089,2023-01-09,17867.0,1,19.0
M00534,2022-08-22,8506.0,0,43.0
M00312,2022-08-08,9654.0,0,17.0
M00302,2022-12-19,9625.0,4,99.0
M00120,2022-01-17,6076.0,4,3.0
M00696,2023-03-27,8984.0,0,89.0
M00718,2023-08-14,16673.0,0,141.0
M00997,2022-03-28,7117.0,1,89.0
M00459,2022-02-21,19257.0,4,140.0
M00923,2022-10-31,17197.0,1,89.0
M00090,2022-07-25,7823.0,0,40.0
M00116,2022-02-21,2181.0,3,90.0
M00675,2023-02-06,6760.0,4,21.0
M00400,2023-09-25,2407.0,1,137.0
M00500,2023-12-18,15610.0,4,49.0
M00616,2023-08-28,11806.0,3,99.0
M00660,2022-02-21,15863.0,2,15.0
M00783,2023-02-27,12714.0,0,138.0
M00974,2023-07-03,9356.0,3,102.0
M00110,2023-01-02,18121.0,2,66.0
M00200,2023-05-08,19209.0,1,19.0
M00792,2023-06-12,17869.0,3,32.0
M00958,2022-09-05,18479.0,2,137.0
M00225,2023-12-11,13531.0,3,54.0
M00592,2023-10-16,12987.0,2,44.0
M00987,2023-05-29,12632.0,1,101.0
M00763,2023-03-06,10590.0,1,30.0
M00220,2022-05-09,3261.0,1,122.0
M00812,2022-05-02,8023.0,1,87.0
M00654,2022-10-31,9700.0,1,137.0
M00073,2022-05-16,9980.0,2,5.0
M00878,2022-01-10,10920.0,1,128.0
M00717,2022-07-25,3656.0,3,110.0
M00435,2022-12-19,7470.0,3,107.0
M00918,2022-10-31,14037.0,1,73.0
M00734,2022-11-21,10958.0,3,104.0
M00672,2022-10-24,14201.0,1,116.0
M00592,2022-03-14,7241.0,3,78.0
M00115,2023-08-21,12426.0,4,87.0
M00025,2022-10-17,2381.0,0,62.0
M00177,2022-05-09,2294.0,3,73.0
M00279,2022-01-17,16258.0,3,128.0
M00293,2022-01-24,2054.0,0,125.0
M00220,2023-11-20,7546.0,4,19.0
M00003,2022-09-19,18463.0,0,28.0
M00828,2023-05-22,11704.0,3,129.0
M00315,2023-05-15,13994.0,1,53.0
M00407,2022-08-22,17631.0,4,88.0
M00545,2022-12-19,17620.0,3,17.0
M00694,2022-08-01,7370.0,1,29.0
M00551,2023-12-25,4343.0,1,7.0
M00153,2023-07-31,14235.0,4,50.0
M00063,2022-09-12,5906.0,3,82.0
M00089,2023-10-30,6834.0,2,119.0
M00103,2022-10-31,19282.0,1,100.0
M00853,2023-02-13,13516.0,0,137.0
M00503,2023-10-02,5998.0,2,143.0
M00699,2022-05-02,3512.0,0,120.0
M00159,2022-06-20,3820.0,4,49.0
M00561,2022-03-07,,1,40.0
M00734,2023-04-24,4021.0,1,53.0
M00359,2023-07-03,5250.0,4,43.0
M00700,2022-06-20,15001.0,1,59.0
M00765,2023-08-07,18413.0,2,68.0
M00877,2022-12-19,2993.0,2,78.0
M00490,2023-01-02,15755.0,4,22.0
M00192,2022-03-07,3286.0,3,93.0
M00244,2022-12-05,13995.0,1,70.0
M00994,2022-09-19,9437.0,2,19.0
M00934,2023-10-02,17408.0,0,38.0
M00583,2022-11-14,11249.0,1,2.0
M00859,2023-05-01,12479.0,2,2.0
M00077,2022-03-14,3940.0,2,6.0
M00733,2023-07-31,8831.0,2,128.0
M00855,2022-04-18,7574.0,3,69.0
M00776,2022-08-08,2156.0,4,107.0
M00981,2022-01-10,19614.0,3,2.0
M00781,2023-12-18,3189.0,0,1.0
M00794,2023-02-06,16094.0,0,95.0
M00906,2023-09-18,9694.0,4,19.0
M00733,2023-08-14,2543.0,4,26.0
M00091,2022-09-19,19959.0,2,83.0
M00568,2023-07-03,16938.0,0,18.0
M00388,2023-01-30,15333.0,2,62.0
M00618,2023-06-19,16759.0,4,42.0
M00287,2023-05-08,19817.0,0,132.0
M00785,2023-02-13,18996.0,2,118.0
M00904,2023-01-30,9678.0,1,147.0
M00436,2023-04-10,12886.0,1,111.0
M00805,2022-04-11,16720.0,2,73.0
M00893,2023-08-07,10922.0,3,149.0
M00916,2023-02-06,8377.0,2,37.0
M00047,2022-01-17,11677.0,0,91.0
M00970,2023-02-06,9506.0,4,139.0
M00307,2022-07-04,14040.0,2,102.0
M00114,2022-04-11,15882.0,0,60.0
M00058,2023-02-20,16484.0,0,98.0
M00044,2022-01-17,15181.0,1,47.0
M00354,2022-07-11,2403.0,2,144.0
M00231,2022-11-21,14790.0,3,51.0
M00779,2023-03-27,14671.0,3,45.0
M00012,2023-01-02,4080.0,4,55.0
M00394,2022-05-16,11640.0,4,28.0
M00717,2022-03-14,12896.0,1,72.0
M00566,2022-06-20,14151.0,2,126.0
M00546,2023-03-13,8442.0,4,74.0
M00760,2022-01-24,10304.0,2,28.0
M00414,2023-07-31,7101.0,3,7.0
M00911,2023-01-09,11536.0,0,24.0
M00502,2023-02-20,17254.0,3,148.0
M00648,2022-07-11,13303.0,1,3.0
M00230,2022-03-07,17009.0,2,35.0
M00356,2023-08-14,2205.0,0,82.0
M00424,2022-09-05,3909.0,0,35.0
M00500,2023-07-10,,1,74.0
M00278,2022-08-15,,0,92.0
M00773,2023-02-13,17451.0,2,49.0
M00480,2022-11-07,11951.0,3,8.0
M00020,2022-12-19,13677.0,2,112.0
M00215,2022-11-14,,4,12.0
M00744,2022-03-28,8539.0,0,80.0
M00494,2023-10-09,5676.0,0,101.0
M00118,2022-01-24,5968.0,2,65.0
M00561,2022-10-17,13737.0,1,77.0
M00631,2022-07-04,5059.0,2,26.0
M00436,2022-02-21,4353.0,3,49.0
M00450,2022-11-14,11961.0,1,58.0
M00659,2022-02-21,19391.0,0,99.0
M00730,2023-09-11,6027.0,0,77.0
M00740,2022-06-27,,1,122.0
M00398,2022-01-03,5988.0,1,71.0
M00263,2023-11-06,12816.0,1,48.0
M00953,2023-07-31,3617.0,0,
M00336,2023-02-27,4368.0,0,121.0
M00522,2023-08-07,14054.0,0,115.0
M00875,2023-07-24,7722.0,0,69.0
M00662,2023-09-18,4491.0,0,0.0
M00730,2022-09-26,12113.0,2,25.0
M00133,2022-02-28,15473.0,2,24.0
M00204,2022-07-04,7479.0,2,108.0
M00984,2023-05-01,18841.0,1,115.0
M00504,2022-05-16,10879.0,0,57.0
M00536,2023-12-11,8116.0,2,21.0
M00655,2023-03-27,6888.0,1,12.0
M00856,2023-12-11,,3,96.0
M00216,2022-04-18,6187.0,4,9.0
M00234,2023-04-17,16988.0,3,17.0
M00922,2023-04-10,16596.0,3,54.0
M00567,2022-05-30,12478.0,4,55.0
M00354,2023-05-22,19478.0,1,55.0
M00402,2023-01-23,9866.0,4,48.0
M00683,2023-01-30,13810.0,1,112.0
M00485,2023-01-09,14943.0,3,115.0
M00390,2022-02-21,14595.0,4,1.0
M00173,2022-02-14,9566.0,3,73.0
M00793,2023-06-12,9145.0,4,83.0
M00977,2022-01-03,11318.0,4,37.0
M00507,2023-01-09,6375.0,0,130.0
M00144,2022-03-21,12838.0,2,122.0
M00951,2023-07-10,8276.0,2,107.0
M00247,2022-04-04,8229.0,3,52.0
M00440,2023-10-16,14892.0,3,126.0
M00541,2022-05-09,3204.0,3,22.0
M00320,2022-05-09,15982.0,0,27.0
M00385,2023-06-19,3529.0,0,90.0
M00636,2023-05-29,16369.0,3,19.0
M00685,2023-10-09,6573.0,0,133.0
M00234,2022-07-11,3746.0,4,2.0
M00365,2023-06-19,18849.0,4,2.0
M00980,2022-04-11,9375.0,4,22.0
M00538,2023-07-17,13768.0,2,72.0
M00597,2023-03-13,13967.0,4,32.0
M00562,2022-06-06,12613.0,2,63.0
M00498,2022-10-24,5594.0,4,139.0
M00667,2022-03-07,18623.0,3,25.0
M00612,2022-09-05,19203.0,2,36.0
M00419,2023-03-13,13487.0,0,113.0
